ID_Geografia;Continente;Pais
302;America do Norte;Estados Unidos
366;America do Norte;Estados Unidos
369;America do Norte;Estados Unidos
370;America do Norte;Estados Unidos
371;America do Norte;Estados Unidos
372;America do Norte;Estados Unidos
373;America do Norte;Estados Unidos
374;America do Norte;Estados Unidos
375;America do Norte;Estados Unidos
376;America do Norte;Estados Unidos
379;America do Norte;Estados Unidos
380;America do Norte;Estados Unidos
381;America do Norte;Estados Unidos
382;America do Norte;Estados Unidos
383;America do Norte;Estados Unidos
386;America do Norte;Estados Unidos
390;America do Norte;Estados Unidos
392;America do Norte;Estados Unidos
394;America do Norte;Estados Unidos
396;America do Norte;Estados Unidos
397;America do Norte;Estados Unidos
401;America do Norte;Estados Unidos
406;America do Norte;Estados Unidos
408;America do Norte;Estados Unidos
409;America do Norte;Estados Unidos
411;America do Norte;Estados Unidos
415;America do Norte;Estados Unidos
417;America do Norte;Estados Unidos
421;America do Norte;Estados Unidos
422;America do Norte;Estados Unidos
424;America do Norte;Estados Unidos
430;America do Norte;Estados Unidos
431;America do Norte;Estados Unidos
432;America do Norte;Estados Unidos
433;America do Norte;Estados Unidos
434;America do Norte;Estados Unidos
436;America do Norte;Estados Unidos
438;America do Norte;Estados Unidos
440;America do Norte;Estados Unidos
441;America do Norte;Estados Unidos
442;America do Norte;Estados Unidos
443;America do Norte;Estados Unidos
444;America do Norte;Estados Unidos
445;America do Norte;Estados Unidos
448;America do Norte;Estados Unidos
450;America do Norte;Estados Unidos
451;America do Norte;Estados Unidos
452;America do Norte;Estados Unidos
453;America do Norte;Estados Unidos
455;America do Norte;Estados Unidos
457;America do Norte;Estados Unidos
458;America do Norte;Estados Unidos
460;America do Norte;Estados Unidos
461;America do Norte;Estados Unidos
462;America do Norte;Estados Unidos
463;America do Norte;Estados Unidos
464;America do Norte;Estados Unidos
465;America do Norte;Estados Unidos
466;America do Norte;Estados Unidos
469;America do Norte;Estados Unidos
470;America do Norte;Estados Unidos
472;America do Norte;Estados Unidos
475;America do Norte;Estados Unidos
479;America do Norte;Estados Unidos
488;America do Norte;Estados Unidos
494;America do Norte;Estados Unidos
495;America do Norte;Estados Unidos
500;America do Norte;Estados Unidos
502;America do Norte;Estados Unidos
505;America do Norte;Estados Unidos
507;America do Norte;Estados Unidos
508;America do Norte;Estados Unidos
516;America do Norte;Estados Unidos
520;America do Norte;Estados Unidos
522;America do Norte;Estados Unidos
523;America do Norte;Estados Unidos
527;America do Norte;Estados Unidos
535;America do Norte;Estados Unidos
536;America do Norte;Estados Unidos
537;America do Norte;Estados Unidos
538;America do Norte;Estados Unidos
546;America do Norte;Estados Unidos
547;America do Norte;Estados Unidos
551;America do Norte;Estados Unidos
552;America do Norte;Estados Unidos
559;America do Norte;Estados Unidos
560;America do Norte;Estados Unidos
566;America do Norte;Estados Unidos
570;America do Norte;Estados Unidos
573;America do Norte;Estados Unidos
575;America do Norte;Estados Unidos
577;America do Norte;Estados Unidos
578;America do Norte;Estados Unidos
579;America do Norte;Estados Unidos
580;America do Norte;Estados Unidos
581;America do Norte;Estados Unidos
582;America do Norte;Estados Unidos
583;America do Norte;Estados Unidos
584;America do Norte;Estados Unidos
593;America do Norte;Estados Unidos
594;America do Norte;Estados Unidos
597;America do Norte;Estados Unidos
600;America do Norte;Estados Unidos
601;America do Norte;Estados Unidos
602;America do Norte;Estados Unidos
603;America do Norte;Estados Unidos
604;America do Norte;Estados Unidos
605;America do Norte;Estados Unidos
606;America do Norte;Estados Unidos
607;America do Norte;Estados Unidos
609;America do Norte;Estados Unidos
610;America do Norte;Estados Unidos
611;America do Norte;Estados Unidos
612;America do Norte;Estados Unidos
614;America do Norte;Estados Unidos
617;America do Norte;Estados Unidos
618;America do Norte;Estados Unidos
619;America do Norte;Estados Unidos
620;America do Norte;Estados Unidos
625;America do Norte;Estados Unidos
627;America do Norte;Estados Unidos
631;America do Norte;Estados Unidos
633;America do Norte;Estados Unidos
642;America do Norte;Estados Unidos
643;America do Norte;Estados Unidos
644;America do Norte;Estados Unidos
645;America do Norte;Estados Unidos
652;America do Norte;Estados Unidos
653;America do Norte;Estados Unidos
658;America do Norte;Estados Unidos
660;America do Norte;Estados Unidos
667;America do Norte;Estados Unidos
670;America do Norte;Estados Unidos
677;America do Norte;Estados Unidos
678;America do Norte;Estados Unidos
686;America do Norte;Estados Unidos
688;America do Norte;Estados Unidos
689;America do Norte;Estados Unidos
690;America do Norte;Estados Unidos
691;America do Norte;Estados Unidos
693;America do Norte;Estados Unidos
694;America do Norte;Estados Unidos
703;America do Norte;Estados Unidos
707;America do Norte;Estados Unidos
782;America do Norte;Estados Unidos
783;America do Norte;Estados Unidos
784;America do Norte;Estados Unidos
785;America do Norte;Estados Unidos
786;America do Norte;Estados Unidos
787;America do Norte;Estados Unidos
788;America do Norte;Estados Unidos
789;America do Norte;Estados Unidos
790;America do Norte;Estados Unidos
791;America do Norte;Estados Unidos
792;America do Norte;Estados Unidos
793;America do Norte;Estados Unidos
794;America do Norte;Estados Unidos
795;America do Norte;Estados Unidos
796;America do Norte;Estados Unidos
797;America do Norte;Estados Unidos
798;America do Norte;Estados Unidos
799;America do Norte;Estados Unidos
800;America do Norte;Estados Unidos
801;America do Norte;Estados Unidos
802;America do Norte;Estados Unidos
803;America do Norte;Estados Unidos
804;America do Norte;Estados Unidos
805;America do Norte;Estados Unidos
806;America do Norte;Estados Unidos
807;America do Norte;Estados Unidos
808;America do Norte;Estados Unidos
809;America do Norte;Estados Unidos
810;America do Norte;Estados Unidos
811;America do Norte;Estados Unidos
812;America do Norte;Estados Unidos
813;America do Norte;Estados Unidos
814;America do Norte;Estados Unidos
815;America do Norte;Estados Unidos
816;America do Norte;Estados Unidos
817;America do Norte;Estados Unidos
818;America do Norte;Estados Unidos
819;America do Norte;Estados Unidos
820;America do Norte;Estados Unidos
821;America do Norte;Estados Unidos
822;America do Norte;Estados Unidos
823;America do Norte;Estados Unidos
824;America do Norte;Estados Unidos
825;America do Norte;Estados Unidos
826;America do Norte;Estados Unidos
827;America do Norte;Estados Unidos
828;America do Norte;Estados Unidos
829;America do Norte;Estados Unidos
830;America do Norte;Estados Unidos
831;America do Norte;Estados Unidos
832;America do Norte;Estados Unidos
833;America do Norte;Estados Unidos
834;America do Norte;Estados Unidos
835;America do Norte;Estados Unidos
836;America do Norte;Estados Unidos
837;America do Norte;Estados Unidos
838;America do Norte;Estados Unidos
